,age,gender,city,position,experience,germany_experience,work_level,main_tech,other_tech,yearly_salary,vacation_days,emp_state,contract_duration,main_language,company_size,company_type,covid_lost,first_word
283,30,Male,Moscow,Backend Developer,2.0,"<bound method NDFrame._add_numeric_operations.<locals>.median of 0       3.0
1       4.0
2       6.0
3       1.0
4       6.0
       ... 
1248    5.0
1249    1.5
1250    2.0
1251    7.0
1252    2.0
Name: germany_experience, Length: 1236, dtype: object>",Middle,Python,"Python, SQL, Docker",13000.0,28.0,full-time,Unlimited contract,Russian,51-100,Startup,No,Python
284,30,Male,Moscow,Software Engineer,5.0,0.0,Middle,C,C/C++,14712.0,30.0,full-time,Unlimited contract,Russian,101-1000,Product,No,C
285,35,Male,Berlin,QA Engineer,11.0,10.0,Senior,Java,"Python, Javascript / Typescript, .NET, Java / Scala, Kubernetes, Docker",74400.0,30.0,full-time,Unlimited contract,English,101-1000,Product,No,Java
286,37,Male,Hamburg,Software Engineer,15.0,5.0,Senior,Java,"Python, Javascript / Typescript, Java / Scala, Go, AWS, Kubernetes, Docker",70000.0,25.0,full-time,Temporary contract,English,11-50,Startup,No,Java
287,36,Male,Hamburg,Backend Developer,10.0,5.0,Senior,Java/Scala,"Python, Go, AWS, Docker",82000.0,30.0,full-time,Unlimited contract,German,51-100,Product,No,Java
288,23,Male,Berlin,Software Engineer,4.0,1.0,Middle,Javascript,"Javascript / Typescript, SQL, AWS, Docker",70500.0,30.0,full-time,Unlimited contract,English,1000+,Product,No,Javascript
289,39,Male,Stuttgart,Software Engineer,11.0,3.0,Lead,PHP,"PHP, SQL, Kubernetes, Docker",75000.0,30.0,full-time,Unlimited contract,English,101-1000,Product,No,PHP
290,27,Female,Berlin,Data Scientist,3.0,3.0,Middle,Python,"Python, SQL, Google Cloud, Kubernetes, Docker",58000.0,24.0,full-time,Unlimited contract,English,51-100,Product,No,Python
291,50,Male,Berlin,Software Engineer,29.0,2.0,Lead,C++,"C/C++, PHP, SQL",28800.0,30.0,full-time,Unlimited contract,German,11-50,IT-Outsourcing,No,C
292,35,Male,Helsinki,Backend Developer,11.0,2.5,Senior,python,"SQL, AWS, Docker",66000.0,28.0,full-time,Unlimited contract,English,101-1000,Product,No,python
293,29,Male,Berlin,Backend Developer,10.0,1.0,Senior,Ruby,Go,80000.0,30.0,full-time,Unlimited contract,English,101-1000,Product,No,Ruby
294,30,Male,Munich,Mobile Developer,8.0,2.0,Lead,Swift,Swift,75000.0,24.0,full-time,Unlimited contract,English,11-50,Startup,No,Swift
